general_assembly,bill,fiscal_year,kind,source,documents,fund_group,fund,line_item,title,amount
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200411,Family and Children First,10600591.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200412,Driver Education Administration,919.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200415,Consumer Education,79663.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200416,Vocational Education Match,2362272.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200417,Professional Development,0.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200420,Technical Systems Development,1751412.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200421,Alternative Education Programs,0.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200422,School Management Assistance,1114865.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200423,Teacher Recruitment,0.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200424,Policy Analysis,494104.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200425,Tech Prep Administration,0.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200426,Ohio Educational Computer Network,24584939.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200429,Local Professional Development Block,0.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200431,School Improvement Models,24838650.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200432,School Conflict Management,500172.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200437,Student Proficiency,12387999.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200441,American Sign Language,221299.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200442,Child Care Licensing,1467703.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200443,DeRolph Litigation Expenses,300000.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200445,OhioReads Administration/Volunteer S,3755709.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200446,Management Information System,13460017.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200447,GED Testing/Adult High School,1117066.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200450,Summer Institute for Reading Interventi,688048.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200455,Community Schools,1654046.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200500,School Finance Equity,47323630.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200501,Base Cost Funding,3458196651.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200502,Pupil Transportation,274110665.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200503,Bus Purchase Allowance,33761278.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200504,Special Education,0.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200505,School Lunch Match,9991216.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200507,Vocational Education,0.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200509,Adult Literacy Education,8817898.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200511,Auxiliary Services,110135741.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200512,Driver Education,361552.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200513,Summer Intervention,15445934.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200514,Post-Secondary/Adult Career-Technic,22668510.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200519,Pilot Scholarship Program,0.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200520,Disadvantaged Pupil Impact Aid,367072979.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200521,Gifted Pupil Program,39529962.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200524,Educational Excellence and Competenc,12987333.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200526,Vocational Education Equipment Repla,148009.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200532,Nonpublic Administration Cost Reimbur,48059452.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200533,School-Age Child Care,961769.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200534,Desegregation Cost,9162951.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200538,Discovery Project Match,0.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200540,Special Education Enhancements,127087994.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200541,Peer Review,0.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200542,National Board Certification,0.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200543,Entry Year Programs,0.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200544,Individual Career Plan and Passport,0.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200545,Career-Technical Education Enhancem,34168790.00
