irn,house_district,population,population_under_18,share
048157,053,479,109,0.05050973
048157,054,8082,1537,0.71223355
048157,089,2260,401,0.1858202
048165,052,685,77,0.03314679
048165,054,10705,2246,0.96685321
048173,052,5070,1095,0.27388694
048173,054,18598,2903,0.72611306
048207,041,434,105,0.01438159
048207,044,31222,7042,0.96452541
048207,075,614,154,0.021093
048215,043,4972,1385,1.0
048223,041,30416,6199,0.99534361
048223,044,108,29,0.00465639
048231,042,18,8,0.00076336
048231,043,47663,10472,0.99923664
048256,012,7105,1570,1.0
048264,011,42,11,0.00334042
048264,012,8599,2253,0.68417856
048264,086,3748,1029,0.31248102
048272,012,13239,1979,0.99297541
048272,091,64,14,0.00702459
048298,058,35439,6315,1.0
048298,059,7,0,0.0
048306,059,36493,6741,1.0
048314,058,8,0,0.0
048314,059,19457,3960,1.0
048322,058,5689,1006,0.93930906
048322,059,151,36,0.03361345
048322,064,133,29,0.0270775
048330,058,1883,352,0.99435028
048330,059,12,2,0.00564972
048348,058,12840,2467,0.85988149
048348,059,2220,402,0.14011851
048355,059,4172,739,1.0
048363,059,7110,1427,1.0
048371,059,8210,1392,1.0
048389,059,12259,2483,0.99919517
048389,072,83,2,0.00080483
048397,059,3903,682,1.0
048413,061,147,34,0.02375961
048413,083,144,62,0.04332635
048413,086,2525,472,0.32983927
048413,087,4012,863,0.60307477
048421,086,8445,1678,0.97331787
048421,087,218,46,0.02668213
048439,086,553,110,0.11518325
048439,087,3964,845,0.88481675
048447,086,10208,1023,0.40514851
048447,087,6617,1502,0.59485149
048462,054,1361,250,0.09796238
048462,067,8686,2302,0.90203762
048470,054,10,1,0.00031387
048470,066,2193,641,0.20119272
048470,067,13191,2544,0.79849341
048488,066,17474,3288,0.89154013
048488,067,2213,400,0.10845987
048496,031,314,89,0.0180674
048496,066,19604,4801,0.97462444
048496,067,175,36,0.00730816
048512,094,5018,1063,1.0
048520,094,11326,2431,1.0
048538,094,4646,955,1.0
048553,084,4045,1270,1.0
048579,082,1021,273,0.18458418
048579,084,4905,1206,0.81541582
048587,084,4768,1356,1.0
048595,084,4113,1225,1.0
048611,080,10185,2580,1.0
048629,080,8455,1955,0.99846782
048629,085,15,3,0.00153218
048637,080,3349,831,1.0
048652,095,291,51,0.01626794
048652,096,16109,3084,0.98373206
048678,038,52,7,0.00328176
048678,040,9696,2126,0.99671824
048686,037,5022,911,0.90019763
048686,038,546,101,0.09980237
048694,037,536,191,0.04100472
048694,038,18643,4312,0.92571919
048694,039,544,155,0.03327608
048702,036,21227,4979,1.0
048702,039,2,0,0.0
048710,037,163,47,0.03114645
048710,038,356,63,0.0417495
048710,040,6267,1399,0.92710404
048728,038,82,20,0.00273898
048728,039,30077,6420,0.87921118
048728,040,4358,853,0.11681731
048728,080,108,9,0.00123254
048736,038,2533,599,0.24896093
048736,039,7389,1807,0.75103907
048744,037,24,14,0.00526514
048744,040,10951,2645,0.99473486
048751,036,4684,1180,0.11959055
048751,038,2,1,0.00010135
048751,039,37786,8686,0.8803081
048777,094,10,1,0.0003785
048777,095,12968,2641,0.9996215
048793,087,6484,1516,1.0
048801,061,325,59,0.0243701
048801,087,10102,2362,0.9756299
048819,076,343,99,0.0514553
048819,087,7563,1825,0.9485447
048835,097,13037,2862,1.0
048843,069,1418,376,0.1298791
048843,097,11129,2519,0.8701209
048850,097,10344,2232,1.0
048876,097,16886,4163,0.96298867
048876,098,563,160,0.03701133
048884,069,920,171,0.06261443
048884,097,13113,2560,0.93738557
048900,095,5721,1448,0.91587603
048900,096,354,133,0.08412397
048926,089,9963,2077,1.0
048934,089,4943,600,1.0
048942,044,8427,1790,1.0
048975,089,677,77,1.0
048991,082,3832,938,1.0
049031,082,5331,1306,1.0
049056,069,14275,3369,0.99029982
049056,073,133,33,0.00970018
049064,092,4373,1012,1.0
049080,012,9218,1885,0.70731707
049080,092,3726,780,0.29268293
049098,005,51,31,0.00515121
049098,012,24822,5816,0.96643403
049098,069,739,171,0.02841476
049106,012,8280,1850,1.0
049122,090,550,130,0.10869565
049122,091,3998,974,0.81438127
049122,093,289,92,0.07692308
049130,090,66,24,0.01232033
049130,091,8180,1924,0.98767967
049148,091,10626,2429,0.95292271
049148,092,514,120,0.04707729
049155,091,4284,1134,1.0
049171,035,17955,3943,1.0
049189,035,4576,816,0.34386852
049189,072,9074,1557,0.65613148
049197,072,17494,3276,1.0
049205,072,8699,1878,1.0
049213,072,8699,1763,1.0
049221,072,11127,2273,1.0
049239,035,17069,3299,1.0
049247,072,7937,1664,1.0
049270,040,6641,1480,0.99462366
049270,080,24,8,0.00537634
049288,040,8959,2053,1.0
049296,040,5491,1264,1.0
049312,078,489,128,0.0960961
049312,082,4631,1204,0.9039039
049320,082,3369,813,1.0
