chamber,irn,district,population,population_under_18,share
house,046946,005,16891,4758,0.82446716
house,046946,069,2359,549,0.09513083
house,046946,073,2182,464,0.08040201
house,046953,005,13580,3571,0.89543631
house,046953,010,1298,417,0.10456369
house,046961,002,2890,830,0.068324
house,046961,003,3030,920,0.07573263
house,046961,004,43877,10375,0.85405005
house,046961,009,168,23,0.00189332
house,046979,002,8510,2526,0.20583442
house,046979,005,40676,9746,0.79416558
house,046995,004,19509,5805,0.82751247
house,046995,009,4383,1209,0.17234498
house,046995,068,6,1,0.00014255
house,047001,002,2465,638,0.05928817
house,047001,005,30898,7654,0.71127219
house,047001,068,9822,2469,0.22943964
house,047019,006,34377,9291,0.37202691
house,047019,007,1290,228,0.00912949
house,047019,011,58896,14288,0.572115
house,047019,012,3742,1167,0.0467286
house,047027,007,505,60,0.00253368
house,047027,008,22880,4981,0.2103374
house,047027,011,52969,13170,0.55614205
house,047027,060,8131,2177,0.09193024
house,047027,086,9675,3293,0.13905663
house,047043,081,7350,1766,1.0
house,047050,044,1977,405,0.22082879
house,047050,081,5790,1429,0.77917121
house,047068,081,2510,564,1.0
house,047076,081,2067,497,1.0
house,047084,081,8095,1978,1.0
house,047092,044,2774,570,0.30190678
house,047092,081,6327,1318,0.69809322
house,047167,099,13255,3006,1.0
house,047175,065,257,110,0.0214676
house,047175,099,15367,5014,0.9785324
house,047183,057,31,5,0.00113662
house,047183,099,21520,4394,0.99886338
house,047191,035,18156,3981,1.0
house,047225,099,15882,2970,1.0
house,047241,036,1759,437,0.0337556
house,047241,070,55816,12509,0.9662444
house,047258,071,6628,903,1.0
house,047266,071,8184,1901,0.99842437
house,047266,091,11,3,0.00157563
house,047274,055,17,0,0.0
house,047274,070,17284,4285,1.0
house,047308,095,2833,553,0.23632479
house,047308,097,8443,1787,0.76367521
house,047332,027,10679,2262,0.99472296
house,047332,029,90,12,0.00527704
house,047340,026,20,3,0.00024942
house,047340,027,46790,12025,0.99975058
house,047365,025,15,2,0.00012098
house,047365,028,5603,1279,0.07736511
house,047365,029,53043,11826,0.71533995
house,047365,030,16825,3412,0.20638761
house,047365,045,86,13,0.00078635
house,047373,030,65148,14766,1.0
house,047381,029,26687,6807,0.986093
house,047381,045,486,96,0.013907
house,047399,029,6,0,0.0
house,047399,030,16044,3769,1.0
house,047415,083,2968,583,1.0
house,047423,083,3512,943,1.0
house,047431,083,4026,1043,1.0
house,047449,083,7136,1801,1.0
house,047456,075,642,191,0.18436293
house,047456,082,5,5,0.00482625
house,047456,083,3112,840,0.81081081
house,047464,083,7202,1485,1.0
house,047472,083,1379,312,0.82105263
house,047472,087,112,28,0.07368421
house,047472,088,125,40,0.10526316
house,047498,083,2729,595,1.0
house,047506,083,3469,1037,1.0
house,047514,083,4173,1033,0.73891273
house,047514,087,1433,365,0.26108727
house,047522,078,7,1,0.00110742
house,047522,083,4009,902,0.99889258
house,047548,079,1740,308,0.51939292
house,047548,095,1375,285,0.48060708
house,047571,081,2398,590,1.0
house,047589,081,5551,1341,1.0
house,047597,075,49,12,0.00934579
house,047597,081,5157,1264,0.98442368
house,047597,082,21,8,0.00623053
house,047613,090,111,31,0.02622673
house,047613,091,4833,1151,0.97377327
house,047621,091,4958,1324,1.0
house,047639,063,8,3,0.0019544
house,047639,071,398,91,0.05928339
house,047639,091,6006,1441,0.93876221
house,047688,077,132,55,0.00692521
house,047688,098,22256,7887,0.99307479
house,047696,067,83,13,0.0026771
house,047696,077,334,104,0.0214168
house,047696,098,18230,4739,0.9759061
house,047712,054,3672,851,0.96049661
house,047712,089,246,35,0.03950339
house,047720,054,5947,1298,0.99846154
house,047720,067,6,2,0.00153846
house,047738,054,4764,1308,0.97032641
house,047738,076,112,40,0.02967359
house,047746,054,3856,813,0.55837912
house,047746,089,2774,643,0.44162088
house,047761,093,7345,1831,1.0
house,047787,095,699,151,0.05916928
house,047787,096,12855,2401,0.94083072
house,047795,079,295,59,0.02234002
house,047795,095,86,18,0.0068156
house,047795,096,13384,2564,0.97084438
house,047803,096,18543,3462,1.0
house,047829,061,6420,1575,0.97462871
house,047829,069,166,41,0.02537129
house,047837,098,4020,1244,1.0
house,047845,069,349,95,0.03833737
house,047845,098,9610,2383,0.96166263
house,047852,061,7548,1942,0.97441044
house,047852,087,2,2,0.00100351
house,047852,098,201,49,0.02458605
house,047878,023,145,30,0.01808318
house,047878,057,7773,1621,0.97709464
house,047878,099,52,8,0.00482218
house,047886,057,18492,3854,0.99689602
house,047886,099,60,12,0.00310398
house,047894,057,37419,7625,0.99660175
house,047894,099,153,26,0.00339825
house,047902,057,8862,1979,1.0
house,047928,093,5898,1347,1.0
house,047936,093,10480,2168,1.0
house,047944,093,8568,2012,1.0
house,047951,093,11970,2537,1.0
house,047969,093,4185,964,1.0
house,047985,061,105,34,0.01344405
house,047985,068,1013,213,0.08422301
house,047985,069,9583,2282,0.90233294
house,047993,068,4279,848,0.3110785
house,047993,069,9928,1878,0.6889215
house,048009,002,6297,2024,0.24886266
house,048009,004,12117,3493,0.42948481
house,048009,005,190,50,0.00614779
house,048009,068,10544,2566,0.31550473
house,048017,068,81,24,0.00897196
house,048017,069,10580,2646,0.98915888
house,048017,097,15,5,0.00186916
house,048025,061,84,20,0.00798722
house,048025,068,239,50,0.01996805
house,048025,069,8487,1887,0.75359425
house,048025,098,2185,547,0.21845048
house,048033,061,553,145,0.07770632
house,048033,068,3145,587,0.31457663
house,048033,069,5093,1134,0.60771704
house,048041,068,27228,6901,0.96747512
house,048041,073,1151,232,0.03252488
house,048074,083,5592,1375,0.53564472
house,048074,085,5435,1157,0.45072069
house,048074,086,138,35,0.01363459
house,048082,083,10548,1932,0.89944134
house,048082,084,53,17,0.00791434
house,048082,085,949,199,0.09264432
house,048090,085,3697,905,1.0
house,048116,052,24847,7050,1.0
house,048124,053,24824,5801,1.0
house,048132,052,999,219,0.15609408
house,048132,053,5182,1184,0.84390592
house,048140,054,6667,1161,1.0
house,048157,052,648,111,0.05143652
house,048157,053,479,109,0.05050973
house,048157,054,8082,1537,0.71223355
house,048157,089,2260,401,0.1858202
house,048165,052,685,77,0.03314679
house,048165,054,10705,2246,0.96685321
house,048173,052,5070,1095,0.27388694
house,048173,054,18598,2903,0.72611306
house,048207,041,434,105,0.01438159
house,048207,044,31222,7042,0.96452541
house,048207,075,614,154,0.021093
house,048215,043,4972,1385,1.0
house,048223,041,30416,6199,0.99534361
house,048223,044,108,29,0.00465639
house,048231,042,18,8,0.00076336
house,048231,043,47663,10472,0.99923664
house,048256,012,7105,1570,1.0
house,048264,011,42,11,0.00334042
house,048264,012,8599,2253,0.68417856
house,048264,086,3748,1029,0.31248102
house,048272,012,13239,1979,0.99297541
house,048272,091,64,14,0.00702459
house,048298,058,35439,6315,1.0
house,048298,059,7,0,0.0
house,048306,059,36493,6741,1.0
house,048314,058,8,0,0.0
house,048314,059,19457,3960,1.0
house,048322,058,5689,1006,0.93930906
house,048322,059,151,36,0.03361345
house,048322,064,133,29,0.0270775
house,048330,058,1883,352,0.99435028
house,048330,059,12,2,0.00564972
house,048348,058,12840,2467,0.85988149
house,048348,059,2220,402,0.14011851
house,048355,059,4172,739,1.0
house,048363,059,7110,1427,1.0
house,048371,059,8210,1392,1.0
house,048389,059,12259,2483,0.99919517
house,048389,072,83,2,0.00080483
house,048397,059,3903,682,1.0
house,048413,061,147,34,0.02375961
house,048413,083,144,62,0.04332635
house,048413,086,2525,472,0.32983927
house,048413,087,4012,863,0.60307477
house,048421,086,8445,1678,0.97331787
house,048421,087,218,46,0.02668213
house,048439,086,553,110,0.11518325
house,048439,087,3964,845,0.88481675
house,048447,086,10208,1023,0.40514851
house,048447,087,6617,1502,0.59485149
house,048462,054,1361,250,0.09796238
house,048462,067,8686,2302,0.90203762
house,048470,054,10,1,0.00031387
