irn,name,county,fiscal_year,unrestricted_aid,restricted_aid,property_tax,income_tax,property_tax_allocation,total_revenue,total_revenue_and_sources,total_expenditure,beginning_cash,ending_cash
050591,Triway Local,Wayne,2022,7046964,411636,10202940,501341,890945,19388354,19431546,19315595,3867049,3983000
050591,Triway Local,Wayne,2023,7203649,363244,6579462,176368,889034,19304432,19304432,19772459,3982999,3514972
050591,Triway Local,Wayne,2024,7180582,445552,7571744,0,1036887,20392050,20475339,21114370,3514972,2875941
050591,Triway Local,Wayne,2025,6587257,1066309,8414893,0,1150160,21814833,23842548,24708132,2875941,2010357
050617,Edgerton Local,Williams,2020,3718933,41853,1623523,954063,228343,7319729,7358220,7171506,5384396,5571110
050617,Edgerton Local,Williams,2021,3733705,41852,1629345,977435,229906,7404569,7423832,7282679,5571110,5712263
050617,Edgerton Local,Williams,2022,3893649,283526,1689815,1115328,234687,7635380,7635403,7498859,5712263,5848807
050617,Edgerton Local,Williams,2023,3727657,304061,1894246,1205525,237577,7840832,7846421,7921011,5848814,5774224
050617,Edgerton Local,Williams,2024,4080713,383413,1759564,1253930,246461,8189993,8200286,7814424,5774224,6160087
050617,Edgerton Local,Williams,2025,4442411,782039,2104485,1176207,286327,9349572,9355964,8542696,6160087,6973354
050625,Edon Northwest Local,Williams,2020,3796777,69907,1480875,588346,222394,6891531,6921987,6824422,2491715,2589280
050625,Edon Northwest Local,Williams,2021,3897923,68322,1491003,606610,221403,6954070,7006815,6800407,2589280,2795688
050625,Edon Northwest Local,Williams,2022,3615613,307952,1490794,685905,223229,6712913,6715018,6730369,2795688,2780337
050625,Edon Northwest Local,Williams,2023,4009207,339927,1518342,722239,222727,7396858,7398148,7061509,2780289,3116928
050625,Edon Northwest Local,Williams,2024,4452129,403249,1525520,724694,225129,8003055,8004576,7527268,3116928,3594236
050625,Edon Northwest Local,Williams,2025,4748147,402639,1913485,743311,266346,8756854,8760306,8118212,3594236,4236331
050633,Millcreek-West Unity Local,Williams,2020,3997059,110887,1601561,844581,226541,7788824,7833593,7180468,6406296,7059421
050633,Millcreek-West Unity Local,Williams,2021,4069427,91346,1581000,806360,217190,7697239,7739318,7411620,7059421,7387119
050633,Millcreek-West Unity Local,Williams,2022,4131390,383395,1585044,904817,222924,7597137,7598804,9331456,7387119,5654467
050633,Millcreek-West Unity Local,Williams,2023,4352852,388065,1650468,916727,226640,8212949,8216329,7920190,5654465,5950604
050633,Millcreek-West Unity Local,Williams,2024,5022253,487524,1641714,929931,228096,9018286,9020288,8047990,5950604,6922902
050633,Millcreek-West Unity Local,Williams,2025,5204307,475933,1756308,976100,246037,9351357,9361735,8264681,6922902,8019956
