leaid,irn,state,comparable,enrollment,total_revenue,federal_revenue,state_revenue,local_revenue,property_tax,current_spending
5307620,,WA,1,1792,39402000,7549000,28483000,3370000,2925000,27730000
5307650,,WA,1,769,14887000,1093000,9299000,4495000,3500000,13665000
5307710,,WA,1,51443,1360052000,127148000,688415000,544489000,484408000,1050991000
5307740,,WA,1,4437,83187000,10646000,55094000,17447000,14489000,77330000
5307770,,WA,1,3748,74343000,8783000,55344000,10216000,7882000,56454000
5307800,,WA,1,241,6372000,1168000,3954000,1250000,645000,5196000
5307830,,WA,1,2587,48242000,8906000,29271000,10065000,9217000,44681000
5307900,,WA,1,4408,80728000,10295000,54538000,15895000,11423000,71623000
5307920,,WA,1,9487,199295000,17064000,111997000,70234000,62268000,159933000
5307980,,WA,1,41,2833000,73000,2343000,417000,236000,2504000
5308020,,WA,1,9332,188769000,13738000,114513000,60518000,53469000,150585000
5308040,,WA,1,7181,139340000,6668000,84297000,48375000,45555000,113564000
5308070,,WA,1,562,11006000,2050000,8229000,727000,612000,9947000
5308100,,WA,1,565,14361000,2092000,10936000,1333000,801000,11180000
5308130,,WA,1,2523,65934000,11868000,35007000,19059000,18215000,55786000
5308160,,WA,1,9775,180046000,24839000,120251000,34956000,31703000,171320000
5308190,,WA,1,1203,24883000,3502000,15105000,6276000,5709000,21622000
5308250,,WA,1,28311,584547000,102331000,352674000,129542000,113725000,489935000
5308280,,WA,1,72,2636000,232000,2189000,215000,180000,2461000
5308310,,WA,1,138,5418000,507000,4141000,770000,618000,3609000
5308340,,WA,1,4642,94208000,7758000,60113000,26337000,25220000,80617000
5308460,,WA,1,3177,60198000,8742000,35514000,15942000,15261000,52758000
5308520,,WA,1,803,16434000,3642000,9688000,3104000,2113000,15216000
5308550,,WA,1,1944,36313000,3827000,26577000,5909000,4348000,32925000
5308610,,WA,1,10217,191145000,11439000,115538000,64168000,57250000,143481000
5308670,,WA,1,6500,114568000,23686000,85136000,5746000,3897000,111492000
5308700,,WA,1,28676,596663000,76392000,340104000,180167000,163962000,503994000
5308730,,WA,1,158,5657000,2326000,3143000,188000,26000,5539000
5308760,,WA,1,8887,159518000,7393000,108977000,43148000,34921000,139818000
5308790,,WA,1,214,4729000,512000,3756000,461000,353000,4139000
5308820,,WA,1,1255,21816000,2640000,14723000,4453000,3973000,19795000
5308850,,WA,1,226,5451000,598000,3635000,1218000,1123000,4902000
5308910,,WA,1,814,21306000,1823000,17135000,2348000,1376000,13205000
