irn,district,distribution,counties,amount
010182,PERFORMANCE ACADEMY EASTLAND,2015-08,1,8400.85
010205,L HOLLINGWORTH SCH FOR TAL.,2015-08,2,7746.54
011291,VILLAGE PREPARATORY SCHOOL,2015-08,1,10518.56
011324,HARDIN COMMUNITY SCHOOL,2015-08,1,1264.13
011381,GREATER SUMMIT CTY EARLY LEARN,2015-08,3,3230.12
011390,BELLA ACADEMY OF EXCELLENCE,2015-08,2,7163.73
011436,PLEASANT EDUCATION ACADEMY,2015-08,1,505.19
011439,RENAISSANCE ACADEMY,2015-08,2,4717.69
011444,RUSHMORE ACADEMY,2015-08,3,6163.52
011468,COLUMBUS BILINGUAL ACAD. - N.,2015-08,3,7896.32
011479,LIFELINKS COMMUNITY SCHOOL,2015-08,3,2121.3
011487,FALCON ACAD. OF CREATIVE ARTS,2015-08,4,4832.48
011506,DAYTON REGIONAL STEM SCHOOL,2015-08,7,15029.52
011507,ACHIEVE CAREER PREP. ACAD.,2015-08,1,4743.79
011511,NORTH CENTRAL ACADEMY,2015-08,3,1602.35
011533,HORIZON SCI. ACAD. OF LORAIN,2015-08,1,13696.45
011534,HORIZON SCIENCE ACADEMY DAYTON,2015-08,1,7244.19
011923,NORTHEAST OHIO COLLEGE PREP.,2015-08,3,14050.02
011947,IMAGINE AKRON ACADEMY,2015-08,1,1690.66
011948,IMAGINE CLEVELAND ACADEMY,2015-08,1,5549.36
011956,RCCS,2015-08,2,2548.15
011967,RICHLAND ACAD. SCH OF EXC.,2015-08,6,4797.99
011972,GRAHAM EXPED. MIDDLE SCHOOL,2015-08,4,3885.23
011976,HORIZON SCIENCE ACADEMY DAYTON,2015-08,1,5174.42
011986,HORIZON SCI. ACAD. YOUNGSTOWN,2015-08,2,10022.1
012000,CRUISER ACADEMY,2015-08,2,5096.04
012009,ZENITH ACADEMY-EAST,2015-08,1,7366.51
012010,CLEVELAND COLLEGE PREP.,2015-08,1,7037.6
012011,COLUMBUS PERFORMANCE ACADEMY,2015-08,1,3910.31
012025,CONSTELLATION SCH STOCKYARD,2015-08,1,2017.95
012026,CONSTELLATION SCHOOLS CENTRAL,2015-08,2,2724.24
012029,CITIZENS LEADERSHIP ACADEMY,2015-08,1,6533.11
012030,NEAR WEST SCHOOL,2015-08,1,3758.43
012031,ENTREPRENEURSHIP PREP. SCHOOL,2015-08,1,6255.65
012033,FOXFIRE INTERMEDIATE SCHOOL,2015-08,5,3573.72
012036,THURGOOD MARSHALL HIGH SCHOOL,2015-08,1,1387.34
012037,NEW BEGINNINGS ACADEMY,2015-08,1,983.88
012038,LANGSTON HUGHES HIGH SCHOOL,2015-08,1,1740.48
012040,ROAD TO SUCCESS ACADEMY,2015-08,1,3027.33
012041,THE ARCH ACADEMY,2015-08,1,1009.11
012042,GEORGE V VOINOVICH RECLAMATION,2015-08,1,2522.44
012043,FREDERICK DOUGLASS RECLAMATION,2015-08,1,2295.42
012044,CAPITAL HIGH SCHOOL,2015-08,1,5827.62
012045,PATRIOT PREPARATORY ACADEMY,2015-08,3,14279.64
012052,IMAGINE ON SUPERIOR,2015-08,1,3388.8
012054,NORTH CENTRAL ACADEMY FREMONT,2015-08,5,2382.52
012060,AKROS MIDDLE SCHOOL,2015-08,1,3128.98
012078,QUEST COMMUNITY SCHOOL,2015-08,2,1690.03
012105,SOUTHSIDE ACADEMY INC,2015-08,1,4732.69
012391,METRO EARLY COLLEGE HIGH SCH,2015-08,6,17534.4
012497,PICKERINGTON COMMUNITY SCHOOL,2015-08,2,1995.39
012501,BEACON HILL COMMUNITY SCHOOL,2015-08,3,1919.18
012513,CINCINNATI COLLEGE PREPARATORY,2015-08,1,6357.33
012528,ACADEMY FOR URBAN SOLUTIONS,2015-08,1,6861.95
012529,FOCUS NORTH HIGH SCHOOL,2015-08,2,4818.53
012536,UBAH MATH  ACADEMY,2015-08,1,4541
012541,UNIVERSITY OF CLEVELAND PREP.,2015-08,4,9913.19
012545,IMAGINE WOODBURY ACADEMY,2015-08,1,4190.02
012556,PEARL ACADEMY,2015-08,1,8853.76
012557,WOODLAND ACADEMY,2015-08,1,4893.53
012558,GLOBAL VILLAGE ACADEMY INC,2015-08,1,3657.53
012624,ACCELELERATED ACH. ACAD. OF,2015-08,1,3582.31
012626,DOW LEADERSHIP INSTITUTE,2015-08,1,2194.52
012627,STEAM ACADEMY OF YOUNGSTOWN,2015-08,1,3457.02
012628,IMAGINE INTEGRITY ACADEMY,2015-08,2,2093.95
012629,GREAT EXPECTATIONS ELEM. SCH,2015-08,1,4642.86
012631,IMPACT ACADEMY CINCINNATI,2015-08,1,2800.25
012644,STEAM ACADEMY OF WARREN,2015-08,2,5856.4
012668,GARFIELD ACADEMY INC,2015-08,1,5841.89
012671,CONSTELLATION SCH EASTSIDE,2015-08,1,2926.03
012684,BROADWAY ACADEMY,2015-08,1,8122.25
012852,CITIZENS ACADEMY EAST,2015-08,1,7718.66
012867,TOWNSEND NORTH COMM. SCH,2015-08,20,17051.14
012924,DECA PREP,2015-08,1,11055.59
012951,COLUMBUS COLLEGIATE ACAD. - W.,2015-08,1,5247.38
013030,GRAHAM PRIMARY SCHOOL,2015-08,1,4238.27
013034,VILLAGE PREP. SCH:WOODLA,2015-08,1,9534.81
013059,WEST CARROLTON SEC. ACAD.,2015-08,2,2448.42
013082,THE HALEY SCHOOL,2015-08,2,4338.6
013132,LAKE ERIE COLLEGE PREP.,2015-08,1,7188.95
013146,STEAM Academy of Dayton,2015-08,1,5098.7
013147,STEAM ACAD. OF WARRENSVILLE,2015-08,1,3480.96
013148,STEPSTONE ACADEMY,2015-08,2,6230.42
013170,HOPE ACADEMY FOR AUTISM,2015-08,1,1262.15
013173,IMAGINE HILL AVENUE,2015-08,3,5147.77
013174,YOUNG SCHOLARS PREP SCHOOL,2015-08,1,1463.21
013175,KIDS UNLIMITED ACADEMY,2015-08,1,6585.79
013195,ACADEMY OF EDU. EXCELLENCE,2015-08,1,2220.5
013198,BROOKWOOD ACADEMY,2015-08,3,3380.75
013199,NEXUS ACADEMY OF CLEVELAND,2015-08,2,4540.56
013200,NEXUS ACADEMY OF TOLEDO,2015-08,6,2725.64
013201,NEXUS ACADEMY OF COLUMBUS,2015-08,5,2699.95
