irn,district,enrolled_adm_fy24,headcount_kindergarten,headcount_grades_1_3,headcount_grades_4_8,headcount_grades_9_12
044891,Tiffin City (044891) - Seneca County,2283.2452,182,537,851,835
045617,Tipp City Exempted Village (045617) - Miami County,2356.4787,150,508,948,732
044909,Toledo City (044909) - Lucas County,19639.9901,1733,4601,7442,6127
044917,Toronto City (044917) - Jefferson County,752.2855,64,170,294,213
091397,Tri-County North Local (091397) - Preble County,693.9261,54,173,284,188
048876,Tri-Valley Local (048876) - Muskingum County,2766.8348,203,669,1165,711
046680,Tri-Village Local (046680) - Darke County,726.7755,65,172,290,208
046201,Triad Local (046201) - Champaign County,743.6131,60,193,288,234
045922,Trimble Local (045922) - Athens County,705.2514,61,144,301,202
050591,Triway Local (050591) - Wayne County,1411.1831,101,335,600,367
048694,Trotwood-Madison City (048694) - Montgomery County,2386.9468,156,476,868,867
044925,Troy City (044925) - Miami County,3975.0238,310,957,1568,1186
050302,Tuscarawas Valley Local (050302) - Tuscarawas County,1229.5328,87,316,472,354
049957,Tuslaw Local (049957) - Stark County,1226.3254,80,288,534,316
049296,Twin Valley Community Local (049296) - Preble County,711.6759,58,177,280,195
050070,Twinsburg City (050070) - Summit County,3676.4312,240,836,1447,1209
046011,Union Local (046011) - Belmont County,1258.4142,77,264,519,392
049536,Union-Scioto Local (049536) - Ross County,1983.6901,148,488,824,557
046458,United Local (046458) - Columbiana County,990.4008,56,236,396,299
044933,Upper Arlington City (044933) - Franklin County,6395.0156,488,1506,2475,1936
045625,Upper Sandusky Exempted Village (045625) - Wyandot County,1491.1152,107,315,596,526
047522,Upper Scioto Valley Local (047522) - Hardin County,402.4939,48,94,177,124
044941,Urbana City (044941) - Champaign County,1697.7757,123,402,687,519
049643,Valley Local (049643) - Scioto County,957.4948,103,233,379,249
048744,Valley View Local (048744) - Montgomery County,1639.7783,114,418,657,461
047464,Van Buren Local (047464) - Hancock County,1034.1789,75,249,404,295
044966,Van Wert City (044966) - Van Wert County,1791.1577,136,444,648,579
044958,Vandalia-Butler City (044958) - Montgomery County,2693.1087,179,612,1103,896
047472,Vanlue Local (047472) - Hancock County,149.8833,12,12,31,56
046821,Vermilion Local (046821) - Erie County,1581.2123,97,353,636,504
045633,Versailles Exempted Village (045633) - Darke County,1246.3536,91,280,474,397
050393,Vinton County Local (050393) - Vinton County,1583.7064,106,371,620,489
044974,Wadsworth City (044974) - Medina County,4108.1514,265,877,1541,1571
046904,Walnut Township Local (046904) - Fairfield County,475.0114,27,114,198,143
044982,Wapakoneta City (044982) - Auglaize County,2745.3728,224,653,1062,816
044990,Warren City (044990) - Trumbull County,4268.2613,363,1059,1666,1172
050500,Warren Local (050500) - Washington County,1993.4889,136,474,804,567
045005,Warrensville Heights City (045005) - Cuyahoga County,1761.9698,121,424,685,613
045013,Washington Court House City (045013) - Fayette County,1804.5336,129,411,734,568
048231,Washington Local (048231) - Lucas County,6686.8625,486,1463,2585,2227
049650,Washington-Nile Local (049650) - Scioto County,1115.3275,89,281,474,294
049247,Waterloo Local (049247) - Portage County,745.0022,61,162,289,226
045641,Wauseon Exempted Village (045641) - Fulton County,1677.1099,98,371,659,533
049148,Waverly City (049148) - Pike County,1649.9702,120,418,642,452
050468,Wayne Local (050468) - Warren County,1458.0714,131,353,645,419
049031,Wayne Trace Local (049031) - Paulding County,869.8148,90,190,343,240
045971,Waynesfield-Goshen Local (045971) - Auglaize County,429.8434,34,103,163,129
050252,Weathersfield Local (050252) - Trumbull County,886.1038,65,191,358,269
045658,Wellington Exempted Village (045658) - Lorain County,889.8555,70,204,362,257
045021,Wellston City (045021) - Jackson County,1170.1294,93,266,480,355
045039,Wellsville Local (045039) - Columbiana County,608.5943,51,174,223,173
048389,West Branch Local (048389) - Mahoning County,1660.8693,142,363,668,488
045054,West Carrollton City (045054) - Montgomery County,3108.2738,264,739,1173,899
046359,West Clermont Local (046359) - Clermont County,7475.1495,645,1849,2939,2103
047225,West Geauga Local (047225) - Geauga County,2053.0678,139,442,818,649
047696,West Holmes Local (047696) - Holmes County,1747.1130,122,432,684,535
046219,West Liberty-Salem Local (046219) - Champaign County,1138.8773,71,251,460,351
048884,West Muskingum Local (048884) - Muskingum County,1576.6519,128,425,649,374
046060,Western Brown Local (046060) - Brown County,2723.7901,223,641,1113,767
049155,Western Local (049155) - Pike County,661.5855,63,154,250,180
047746,Western Reserve Local (047746) - Huron County,926.7729,74,208,356,280
048397,Western Reserve Local (048397) - Mahoning County,548.0492,33,137,243,124
045047,Westerville City (045047) - Franklin County,13599.7978,965,3288,5450,4479
049106,Westfall Local (049106) - Pickaway County,1258.5259,87,280,533,402
045062,Westlake City (045062) - Cuyahoga County,3088.2684,206,683,1213,1058
049668,Wheelersburg Local (049668) - Scioto County,1488.9343,125,343,597,421
045070,Whitehall City (045070) - Franklin County,3208.8821,262,708,1339,889
045088,Wickliffe City (045088) - Lake County,1233.2533,70,294,452,440
045096,Willard City (045096) - Huron County,1188.0797,81,274,495,344
046367,Williamsburg Local (046367) - Clermont County,930.2683,63,191,385,287
045104,Willoughby-Eastlake City (045104) - Lake County,6499.9694,426,1417,2467,2423
045112,Wilmington City (045112) - Clinton County,2032.7790,173,499,747,613
045666,Windham Exempted Village (045666) - Portage County,451.4056,37,102,204,104
044081,Winton Woods City (044081) - Hamilton County,3806.2797,263,806,1496,1252
050518,Wolf Creek Local (050518) - Washington County,590.3392,40,130,237,180
049577,Woodmore Local (049577) - Sandusky County,894.9891,72,208,358,268
049973,Woodridge Local (049973) - Summit County,1840.4459,127,424,763,646
045120,Wooster City (045120) - Wayne County,3090.5896,180,749,1206,926
045138,Worthington City (045138) - Franklin County,10121.4002,736,2501,3984,3170
046524,Wynford Local (046524) - Crawford County,992.1395,85,277,398,247
045146,Wyoming City (045146) - Hamilton County,1836.5099,118,427,763,585
045153,Xenia Community City (045153) - Greene County,3441.6783,292,900,1361,907
045674,Yellow Springs Exempted Village (045674) - Greene County,603.0933,37,123,241,226
045161,Youngstown City (045161) - Mahoning County,4322.2893,252,933,1514,1586
049544,Zane Trace Local (049544) - Ross County,1187.3293,105,275,477,357
045179,Zanesville City (045179) - Muskingum County,2802.9832,287,760,1082,651
